"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"61","0.028794460","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-62 dBm","6","Beacon frame, SN=2874, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"71","0.033818331","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-59 dBm","54","Beacon frame, SN=1466, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"96","0.037599163","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-58 dBm","54","Beacon frame, SN=1467, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"99","0.041761287","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-60 dBm","54","Beacon frame, SN=1468, FN=0, Flags=........C, BI=100, SSID=eduroam"
"106","0.045671553","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-59 dBm","54","Beacon frame, SN=1469, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"126","0.050396491","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","308","-60 dBm","54","Beacon frame, SN=1470, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"155","0.055456397","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","323","-59 dBm","54","Beacon frame, SN=1471, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"233","0.096817731","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-63 dBm","6","Beacon frame, SN=3103, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"354","0.128524228","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-61 dBm","6","Beacon frame, SN=2875, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"358","0.132771114","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-60 dBm","54","Beacon frame, SN=1472, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"374","0.137136575","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-60 dBm","54","Beacon frame, SN=1473, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"384","0.145518100","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-61 dBm","54","Beacon frame, SN=1474, FN=0, Flags=........C, BI=100, SSID=eduroam"
"404","0.149990622","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-62 dBm","54","Beacon frame, SN=1475, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"409","0.154251601","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","308","-62 dBm","54","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"435","0.158729986","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","323","-60 dBm","54","Beacon frame, SN=1477, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"481","0.197701701","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-63 dBm","6","Beacon frame, SN=3104, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"543","0.231611350","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-64 dBm","6","Beacon frame, SN=2876, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"565","0.236976835","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-57 dBm","54","Beacon frame, SN=1478, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"592","0.241492171","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-57 dBm","54","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"601","0.245250046","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-58 dBm","54","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=eduroam"
"604","0.249297250","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-58 dBm","54","Beacon frame, SN=1481, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"612","0.257556673","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","308","-60 dBm","54","Beacon frame, SN=1482, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"626","0.261449438","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","309","-60 dBm","54","Beacon frame, SN=1483, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"733","0.300705818","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-62 dBm","6","Beacon frame, SN=3105, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"793","0.337760327","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-64 dBm","6","Beacon frame, SN=2877, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"805","0.337877370","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-59 dBm","54","Beacon frame, SN=1484, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"830","0.342591024","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-59 dBm","54","Beacon frame, SN=1485, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"854","0.347621052","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-61 dBm","54","Beacon frame, SN=1486, FN=0, Flags=........C, BI=100, SSID=eduroam"
"861","0.351752409","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-59 dBm","54","Beacon frame, SN=1487, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"868","0.359691401","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","309","-58 dBm","54","Beacon frame, SN=1488, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"884","0.363738485","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","309","-59 dBm","54","Beacon frame, SN=1489, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"995","0.403075581","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-65 dBm","6","Beacon frame, SN=3106, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"1053","0.436189891","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-63 dBm","6","Beacon frame, SN=2878, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"1056","0.439939971","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-59 dBm","54","Beacon frame, SN=1490, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"1070","0.443922835","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-57 dBm","54","Beacon frame, SN=1491, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"1084","0.452425865","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-58 dBm","54","Beacon frame, SN=1492, FN=0, Flags=........C, BI=100, SSID=eduroam"
"1090","0.456592719","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-59 dBm","54","Beacon frame, SN=1493, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"1096","0.460622828","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","309","-57 dBm","54","Beacon frame, SN=1494, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"1103","0.464566643","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","323","-61 dBm","54","Beacon frame, SN=1495, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"1156","0.509223495","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-64 dBm","6","Beacon frame, SN=3107, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"1229","0.541350682","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-61 dBm","6","Beacon frame, SN=2879, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"1230","0.541373994","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-57 dBm","54","Beacon frame, SN=1496, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"1235","0.548738909","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-57 dBm","54","Beacon frame, SN=1497, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"1248","0.553133389","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-58 dBm","54","Beacon frame, SN=1498, FN=0, Flags=........C, BI=100, SSID=eduroam"
"1258","0.557058667","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-57 dBm","54","Beacon frame, SN=1499, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"1272","0.565852212","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","308","-60 dBm","54","Beacon frame, SN=1500, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"1294","0.570475630","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","323","-58 dBm","54","Beacon frame, SN=1501, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"1380","0.612060406","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-62 dBm","6","Beacon frame, SN=3108, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
"1447","0.641967206","ce:d5:77:a6:98:5b","ff:ff:ff:ff:ff:ff","802.11","420","-61 dBm","6","Beacon frame, SN=2880, FN=0, Flags=........C, BI=100, SSID=DIRECT-JODESKTOP-84Q542VmsNQ"
"1461","0.646539742","00:5d:73:27:e9:af","ff:ff:ff:ff:ff:ff","802.11","339","-58 dBm","54","Beacon frame, SN=1502, FN=0, Flags=........C, BI=100, SSID=GUEST-N"
"1491","0.651561757","00:5d:73:27:e9:ae","ff:ff:ff:ff:ff:ff","802.11","338","-59 dBm","54","Beacon frame, SN=1503, FN=0, Flags=........C, BI=100, SSID=SENSOR"
"1518","0.656357206","00:5d:73:27:e9:ad","ff:ff:ff:ff:ff:ff","802.11","339","-60 dBm","54","Beacon frame, SN=1504, FN=0, Flags=........C, BI=100, SSID=eduroam"
"1544","0.661887793","00:5d:73:27:e9:ac","ff:ff:ff:ff:ff:ff","802.11","289","-59 dBm","54","Beacon frame, SN=1505, FN=0, Flags=........C, BI=100, SSID=FACULTY-STAFF-N"
"1578","0.667434757","00:5d:73:27:e9:ab","ff:ff:ff:ff:ff:ff","802.11","308","-58 dBm","54","Beacon frame, SN=1506, FN=0, Flags=........C, BI=100, SSID=LAPTOP-S"
"1613","0.672703999","00:5d:73:27:e9:aa","ff:ff:ff:ff:ff:ff","802.11","324","-59 dBm","54","Beacon frame, SN=1507, FN=0, Flags=........C, BI=100, SSID=MOBILE-S"
"1749","0.712292876","62:dd:8e:5e:72:ca","ff:ff:ff:ff:ff:ff","802.11","440","-63 dBm","6","Beacon frame, SN=3109, FN=0, Flags=........C, BI=100, SSID=DIRECT-D5DESKTOP-NSHC0IQmsMP"
