"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"6","0.001875","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"17","0.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"25","1.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"33","2.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"41","3.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"49","4.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"57","5.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"65","6.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"73","7.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"81","8.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"89","9.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"97","10.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"105","11.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"113","12.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"121","13.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"129","14.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"137","15.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"145","16.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"153","17.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"161","18.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"169","19.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"177","20.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"185","21.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"193","22.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"201","23.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"209","24.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"217","25.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"225","26.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"233","27.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"237","28.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"245","29.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"248","30.014782","169.1.4.3","169.1.3.2","ICMP","74","","Time-to-live exceeded (Fragment reassembly time exceeded)"
"254","30.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"262","31.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"270","32.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"278","33.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"286","34.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"294","35.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"302","36.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"310","37.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"318","38.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"326","39.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"334","40.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"342","41.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"350","42.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"358","43.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"366","44.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"374","45.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"382","46.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"390","47.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"398","48.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"406","49.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"414","50.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"422","51.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"430","52.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"438","53.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"446","54.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"454","55.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"462","56.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"470","57.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"478","58.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"486","59.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"494","60.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"502","61.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"510","62.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"518","63.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"526","64.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"534","65.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"542","66.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"550","67.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"558","68.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"562","69.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"570","70.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"578","71.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"586","72.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"594","73.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"602","74.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"610","75.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"618","76.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"626","77.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"634","78.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"642","79.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"650","80.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"658","81.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"666","82.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"674","83.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"682","84.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"690","85.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"698","86.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"706","87.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"714","88.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"722","89.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"730","90.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"738","91.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"746","92.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"754","93.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"762","94.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"770","95.995859","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"778","96.995860","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
