"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Identification","Info"
"4","0.000184","169.1.2.4","169.1.3.2","UDP","614","","0x0000 (0)","49153  >  69 Len=2048"
"13","0.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0001 (1)","49153  >  69 Len=2048"
"21","1.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0002 (2)","49153  >  69 Len=2048"
"29","2.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0003 (3)","49153  >  69 Len=2048"
"37","3.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0004 (4)","49153  >  69 Len=2048"
"45","4.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0005 (5)","49153  >  69 Len=2048"
"53","5.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0006 (6)","49153  >  69 Len=2048"
"61","6.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0007 (7)","49153  >  69 Len=2048"
"69","7.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0008 (8)","49153  >  69 Len=2048"
"77","8.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0009 (9)","49153  >  69 Len=2048"
"85","9.993710","169.1.2.4","169.1.3.2","UDP","614","","0x000a (10)","49153  >  69 Len=2048"
"93","10.993707","169.1.2.4","169.1.3.2","UDP","614","","0x000b (11)","49153  >  69 Len=2048"
"101","11.993716","169.1.2.4","169.1.3.2","UDP","614","","0x000c (12)","49153  >  69 Len=2048"
"109","12.993712","169.1.2.4","169.1.3.2","UDP","614","","0x000d (13)","49153  >  69 Len=2048"
"117","13.993709","169.1.2.4","169.1.3.2","UDP","614","","0x000e (14)","49153  >  69 Len=2048"
"125","14.993716","169.1.2.4","169.1.3.2","UDP","614","","0x000f (15)","49153  >  69 Len=2048"
"133","15.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0010 (16)","49153  >  69 Len=2048"
"141","16.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0011 (17)","49153  >  69 Len=2048"
"149","17.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0012 (18)","49153  >  69 Len=2048"
"157","18.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0013 (19)","49153  >  69 Len=2048"
"165","19.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0014 (20)","49153  >  69 Len=2048"
"173","20.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0015 (21)","49153  >  69 Len=2048"
"181","21.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0016 (22)","49153  >  69 Len=2048"
"189","22.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0017 (23)","49153  >  69 Len=2048"
"197","23.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0018 (24)","49153  >  69 Len=2048"
"205","24.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0019 (25)","49153  >  69 Len=2048"
"213","25.993715","169.1.2.4","169.1.3.2","UDP","614","","0x001a (26)","49153  >  69 Len=2048"
"221","26.993712","169.1.2.4","169.1.3.2","UDP","614","","0x001b (27)","49153  >  69 Len=2048"
"229","27.993709","169.1.2.4","169.1.3.2","UDP","614","","0x001c (28)","49153  >  69 Len=2048"
"241","29.993715","169.1.2.4","169.1.3.2","UDP","614","","0x001e (30)","49153  >  69 Len=2048"
"250","30.993711","169.1.2.4","169.1.3.2","UDP","614","","0x001f (31)","49153  >  69 Len=2048"
"258","31.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0020 (32)","49153  >  69 Len=2048"
"266","32.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0021 (33)","49153  >  69 Len=2048"
"274","33.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0022 (34)","49153  >  69 Len=2048"
"282","34.993710","169.1.2.4","169.1.3.2","UDP","614","","0x0023 (35)","49153  >  69 Len=2048"
