"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"4","0.000138","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"9","0.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"13","1.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"17","2.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"21","3.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"25","4.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"29","5.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"33","6.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"37","7.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"41","8.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"45","9.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"49","10.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"53","11.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"57","12.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"61","13.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"65","14.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"69","15.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"73","16.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"77","17.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"81","18.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"85","19.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"89","20.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"93","21.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"97","22.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"101","23.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"105","24.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"109","25.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"113","26.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"117","27.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"121","28.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"125","29.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"128","30.013321","169.1.4.3","169.1.3.2","ICMP","74","","Time-to-live exceeded (Fragment reassembly time exceeded)"
"130","30.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"134","31.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"138","32.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"142","33.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
