"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Sequence number","Info"
"3","0.000015","169.1.4.3","169.1.3.2","TCP","74","0","","49153  >  69 [SYN] Seq=0 Win=65535 Len=0 TSval=2000 TSecr=0 WS=4 SACK_PERM=1"
"7","0.012607","169.1.4.3","169.1.3.2","TCP","70","0","","49153  >  69 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2018 TSecr=2008"
"8","0.012614","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=1 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"9","0.012666","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=537 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"10","0.012717","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=1073 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"11","0.012769","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=1609 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"12","0.012821","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=2145 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"13","0.012872","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=2681 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"14","0.012925","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=3217 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"15","0.012976","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=3753 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"16","0.013029","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=4289 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"17","0.013080","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=4825 Ack=1 Win=131072 Len=536 TSval=2018 TSecr=2008"
"19","0.018444","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=5361 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
"20","0.018494","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=5897 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
"22","0.018556","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=6433 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
"23","0.018607","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=6969 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
"24","0.018658","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=7505 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
"25","0.018710","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=8041 Ack=1 Win=131072 Len=536 TSval=2024 TSecr=2020"
