"No.","Time","Source","Destination","Protocol","Length","Time delta from previous displayed frame","Signal strength (dBm)","The RTT to ACK the segment was","Info"
"179","0.937804","10.1.0.11","10.1.0.2","TCP","138","0.000000000","","","49154  >  7002 [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM=1"
"180","0.937943","10.1.0.11","10.1.0.2","TCP","138","0.000139000","","","[TCP Out-Of-Order] [TCP Port numbers reused] 49154  >  7002 [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM=1"
"183","0.938218","10.1.0.2","10.1.0.11","TCP","138","0.000275000","-43 dBm","0.000414000","7002  >  49154 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=950 TSecr=950 WS=4 SACK_PERM=1"
"186","0.938400","10.1.0.11","10.1.0.2","TCP","134","0.000182000","","0.000182000","49154  >  7002 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=950 TSecr=950"
"192","0.938972","10.1.0.11","10.1.0.2","TCP","134","0.000572000","","","[TCP Dup ACK 186#1] 49154  >  7002 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=950 TSecr=950"
"195","0.939238","10.1.0.2","10.1.0.11","TCP","138","0.000266000","-43 dBm","","49153  >  7003 [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM=1"
"198","0.939393","10.1.0.11","10.1.0.2","TCP","138","0.000155000","","0.000155000","7003  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=951 TSecr=950 WS=4 SACK_PERM=1"
"201","0.939659","10.1.0.2","10.1.0.11","TCP","134","0.000266000","-43 dBm","0.000266000","49153  >  7003 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=951 TSecr=951"
"1020","4.839021","10.1.0.11","10.1.0.2","TCP","1134","3.899362000","","","49154  >  7002 [ACK] Seq=1 Ack=1 Win=131072 Len=1000 TSval=4851 TSecr=950"
"1034","4.840085","10.1.0.11","10.1.0.2","TCP","1134","0.001064000","","","49154  >  7002 [ACK] Seq=1001 Ack=1 Win=131072 Len=1000 TSval=4852 TSecr=950"
"1054","4.841765","10.1.0.11","10.1.0.2","TCP","2224","0.001680000","","","49154  >  7002 [ACK] Seq=3001 Ack=1 Win=131072 Len=1000 TSval=4853 TSecr=950"
