"No.","Time","Source","Destination","Protocol","Length","Time delta from previous displayed frame","Signal strength (dBm)","The RTT to ACK the segment was","Info"
"790","3.838201","10.1.0.11","10.1.0.8","TCP","138","0.000000000","-37 dBm","","49160  >  7014 [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM=1"
"793","3.838347","10.1.0.8","10.1.0.11","TCP","138","0.000146000","","","49153  >  7015 [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM=1"
"796","3.838562","10.1.0.8","10.1.0.11","TCP","138","0.000215000","","0.000361000","7014  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3850 TSecr=3850 WS=4 SACK_PERM=1"
"797","3.838755","10.1.0.8","10.1.0.11","TCP","138","0.000193000","","","[TCP Out-Of-Order] 7014  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3850 TSecr=3850 WS=4 SACK_PERM=1"
"800","3.839021","10.1.0.11","10.1.0.8","TCP","134","0.000266000","-37 dBm","0.000459000","49160  >  7014 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3851 TSecr=3850"
"803","3.839335","10.1.0.11","10.1.0.8","TCP","138","0.000314000","-37 dBm","0.000988000","7015  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3850 TSecr=3850 WS=4 SACK_PERM=1"
"806","3.839481","10.1.0.8","10.1.0.11","TCP","134","0.000146000","","0.000146000","49153  >  7015 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3851 TSecr=3850"
"1033","4.840473","10.1.0.11","10.1.0.8","TCP","1134","1.000992000","-37 dBm","","49160  >  7014 [ACK] Seq=1 Ack=1 Win=131072 Len=1000 TSval=4852 TSecr=3850"
"1053","4.842377","10.1.0.11","10.1.0.8","TCP","3300","0.001904000","-37 dBm","","49160  >  7014 [ACK] Seq=3001 Ack=1 Win=131072 Len=1000 TSval=4854 TSecr=3850"
"1080","4.845569","10.1.0.11","10.1.0.8","TCP","4376","0.003192000","-37 dBm","","49160  >  7014 [ACK] Seq=7001 Ack=1 Win=131072 Len=1000 TSval=4857 TSecr=3850"
"1100","4.848161","10.1.0.11","10.1.0.8","TCP","3300","0.002592000","-37 dBm","","49160  >  7014 [ACK] Seq=10001 Ack=1 Win=131072 Len=1000 TSval=4860 TSecr=3850"
"1120","4.850354","10.1.0.11","10.1.0.8","TCP","3300","0.002193000","-37 dBm","","49160  >  7014 [ACK] Seq=13001 Ack=1 Win=131072 Len=1000 TSval=4862 TSecr=3850"
"1141","4.852643","10.1.0.8","10.1.0.11","TCP","6528","0.002289000","","","49153  >  7015 [ACK] Seq=5001 Ack=1 Win=131072 Len=1000 TSval=4856 TSecr=3850"
"1142","4.852643","10.1.0.8","10.1.0.11","TCP","6528","0.000000000","","","49153  >  7015 [ACK] Seq=11001 Ack=1 Win=131072 Len=1000 TSval=4861 TSecr=3850"
"1143","4.852643","10.1.0.8","10.1.0.11","TCP","3300","0.000000000","","","49153  >  7015 [ACK] Seq=14001 Ack=1 Win=131072 Len=1000 TSval=4863 TSecr=3850"
"1152","4.855411","10.1.0.8","10.1.0.11","TCP","6528","0.002768000","","","[TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] 49153  >  7015 [ACK] Seq=5001 Ack=1 Win=131072 Len=1000 TSval=4856 TSecr=3850"
"1153","4.855411","10.1.0.8","10.1.0.11","TCP","6528","0.000000000","","","[TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] [TCP Retransmission] 49153  >  7015 [ACK] Seq=11001 Ack=1 Win=131072 Len=1000 TSval=4861 TSecr=3850"
