"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"11192","2.838066","10.1.0.11","10.1.0.6","TCP","156","","","49158  >  ups-onlinet(7010) [SYN] Seq=0 Win=65535 Len=0 TSval=2850 TSecr=0 WS=4 SACK_PERM"
"11420","2.843346","10.1.0.6","10.1.0.11","TCP","138","-31 dBm","","ups-onlinet(7010)  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2850 TSecr=2850 WS=4 SACK_PERM"
"11427","2.843736","10.1.0.11","10.1.0.6","TCP","152","","","49158  >  ups-onlinet(7010) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2855 TSecr=2850"
"11895","2.854764","10.1.0.6","10.1.0.11","TCP","138","-31 dBm","","49153  >  talon-disc(7011) [SYN] Seq=0 Win=65535 Len=0 TSval=2850 TSecr=0 WS=4 SACK_PERM"
"11898","2.854919","10.1.0.11","10.1.0.6","TCP","156","","","talon-disc(7011)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2866 TSecr=2850 WS=4 SACK_PERM"
"12135","2.860410","10.1.0.6","10.1.0.11","TCP","134","-31 dBm","","49153  >  talon-disc(7011) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2867 TSecr=2866"
"26489","4.844445","10.1.0.11","10.1.0.6","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26517","4.846441","10.1.0.6","10.1.0.11","TCP","134","-31 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"26563","4.849529","10.1.0.11","10.1.0.6","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26621","4.854986","10.1.0.11","10.1.0.6","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26622","4.854986","10.1.0.11","10.1.0.6","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26661","4.860330","10.1.0.6","10.1.0.11","WebSocket","2224","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"26684","4.860452","10.1.0.11","10.1.0.6","WebSocket","2242","","","WebSocket Continuation[FRAGMENT]  "
"26720","4.871272","10.1.0.6","10.1.0.11","WebSocket","6528","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"26734","4.871385","10.1.0.11","10.1.0.6","TCP","394","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4883 TSecr=4871"
"26770","4.876726","10.1.0.6","10.1.0.11","TCP","604","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4877 TSecr=4866"
"26832","4.887645","10.1.0.6","10.1.0.11","WebSocket","6528","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"26845","4.887767","10.1.0.11","10.1.0.6","TCP","318","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4899 TSecr=4876"
"26883","4.893107","10.1.0.6","10.1.0.11","WebSocket","5876","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"26897","4.893211","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26898","4.893211","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26899","4.893211","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"26966","4.904159","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26967","4.904159","10.1.0.11","10.1.0.6","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"26968","4.904159","10.1.0.11","10.1.0.6","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
