"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"3968","4.787940","10.1.0.11","10.1.0.10","TCP","156","-32 dBm","","49162  >  fisa-svc(7018) [SYN] Seq=0 Win=65535 Len=0 TSval=4800 TSecr=0 WS=4 SACK_PERM"
"4009","4.792884","10.1.0.10","10.1.0.11","TCP","138","","","fisa-svc(7018)  >  49162 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4800 TSecr=4800 WS=4 SACK_PERM"
"4014","4.793362","10.1.0.11","10.1.0.10","TCP","152","-32 dBm","","49162  >  fisa-svc(7018) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4805 TSecr=4800"
"4125","4.804369","10.1.0.10","10.1.0.11","TCP","138","","","49153  >  doceri-ctl(7019) [SYN] Seq=0 Win=65535 Len=0 TSval=4800 TSecr=0 WS=4 SACK_PERM"
"4131","4.804780","10.1.0.11","10.1.0.10","TCP","156","-32 dBm","","doceri-ctl(7019)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4816 TSecr=4800 WS=4 SACK_PERM"
"4194","4.809976","10.1.0.10","10.1.0.11","TCP","134","","","49153  >  doceri-ctl(7019) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4817 TSecr=4816"
"4223","4.851697","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4224","4.851697","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4244","4.853009","10.1.0.10","10.1.0.11","TCP","376","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"4246","4.857154","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4247","4.857154","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4267","4.858466","10.1.0.10","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"4269","4.864700","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4270","4.864700","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4291","4.866112","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4312","4.872622","10.1.0.10","10.1.0.11","TCP","604","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=21001 Win=131072 Len=0 TSval=4875 TSecr=4871"
"4314","4.881069","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4315","4.881069","10.1.0.11","10.1.0.10","WebSocket","7470","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4334","4.882485","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4354","4.897571","10.1.0.11","10.1.0.10","WebSocket","7470","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4355","4.897571","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4376","4.899032","10.1.0.10","10.1.0.11","WebSocket","1134","","","WebSocket Continuation[FRAGMENT]  "
"4398","4.909963","10.1.0.10","10.1.0.11","TCP","908","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=47001 Win=131072 Len=0 TSval=4909 TSecr=4892"
"4400","4.919477","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4401","4.919477","10.1.0.11","10.1.0.10","WebSocket","7546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4423","4.921212","10.1.0.10","10.1.0.11","TCP","528","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=60001 Win=131072 Len=0 TSval=4931 TSecr=4927"
"4425","4.931044","10.1.0.11","10.1.0.10","WebSocket","6394","-38 dBm","","WebSocket Continuation[FRAGMENT]  "
"4426","4.931044","10.1.0.11","10.1.0.10","WebSocket","6394","-38 dBm","","WebSocket Continuation[FRAGMENT]  "
"4427","4.931044","10.1.0.11","10.1.0.10","WebSocket","6394","-38 dBm","","WebSocket Continuation[FRAGMENT]  "
"4428","4.931044","10.1.0.11","10.1.0.10","WebSocket","6394","-38 dBm","","WebSocket Continuation[FRAGMENT]  "
"4429","4.931044","10.1.0.11","10.1.0.10","WebSocket","7546","-38 dBm","","WebSocket Continuation[FRAGMENT]  "
"4441","4.931878","10.1.0.10","10.1.0.11","TCP","908","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=91001 Win=131072 Len=0 TSval=4943 TSecr=4927"
"4459","4.948197","10.1.0.11","10.1.0.10","TCP","698","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4916 TSecr=4878"
"4479","4.949505","10.1.0.10","10.1.0.11","WebSocket","4800","","","WebSocket Continuation[FRAGMENT]  "
"4481","4.957904","10.1.0.11","10.1.0.10","WebSocket","6970","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4482","4.957904","10.1.0.11","10.1.0.10","WebSocket","6970","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"4502","4.959289","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"4504","4.968856","10.1.0.11","10.1.0.10","WebSocket","6970","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
